arise arose arisen 
awake awoke awoken 
bear bore born 
be was/were been 
beat beat beaten 
become became become 
begin began begun 
bend bent bent 
bet bet bet 
bind bound bound 
bite bit bitten 
bleed bled bled 
blow blew blown 
break broke broken 
breed bred bred 
bring brought brought 
build built built 
burst burst burst 
burn burnt/burned burnt/burned 
buy bought bought 
cast cast cast 
catch caught caught 
choose chose chosen 
cling clung clung 
come came come 
cost cost cost 
creep crept crept 
cut cut cut 
deal dealt dealt 
dig dug dug 
do did done 
draw drew drawn 
dream dreamt/dreamed dreamt/dreamed 
drink drank drunk 
drive drove driven 
eat ate eaten 
fall fell fallen 
feed fed fed 
feel felt felt 
fight fought fought 
find found found 
flee fled fled 
fling flung flung 
fly flew flown 
forbid forbade forbidden 
forget forgot forgotten 
forgive forgave forgiven 
freeze froze frozen 
get got got 
give gave given 
go went gone 
grind ground ground 
grow grew grown 
hang hung hung 
have had had 
hear heard heard 
hide hid hidden 
hit hit hit 
hold held held 
hurt hurt hurt 
keep kept kept 
know knew known 
lay laid laid 
lead led led 
lean leant/leaned leant/leaned 
leave left left 
lend lent lent 
let let let 
lie lay lain 
light lit/lighted lit/lighted 
lose lost lost 
make made made 
mean meant meant 
meet met met 
mislay mislaid mislaid 
mislead misled misled 
pay paid paid 
put put put 
quit quit quit 
read read read 
ride rode ridden 
ring rang rung 
rise rose risen 
run ran run 
saw sawed sawn 
say said said 
see saw seen 
seek sought sought 
sell sold sold 
send sent sent 
set set set 
sew sewed sewn 
shake shook shaken 
shine shone shone 
shoot shot shot 
show showed shown 
shrink shrank shrunk 
shut shut shut 
sing sang sung 
sink sank sunk 
sit sat sat 
sleep slept slept 
slide slid slid 
sow sowed sown 
speak spoke spoken 
spend spent spent 
spin span/spun spun 
spill spilt/spilled spilt/spilled 
spread spread spread 
spring sprang sprung 
stand stood stood 
steal stole stolen 
stick stuck stuck 
sting stung stung 
stink stank stunk 
stride strode stridden 
strike struck struck 
swear swore sworn 
sweep swept swept 
swim swam swum 
swing swung swung 
take took taken 
teach taught taught 
tear tore torn 
tell told told 
think thought thought 
throw threw thrown 
tread trod trodden 
understand understood understood 
wake woke woken 
wear wore worn 
weep wept wept 
win won won 
wind wound wound 
write wrote written 
